Unnamed: 0,M#,Date,Time,Day,Team,Team2,Winner,Venue,Poll Flag
0,1,2021-04-09,7.30 pm,Fri,MI,RCB,RCB,Chennai,0
1,2,2021-04-10,7.30 pm,Sat,CSK,DC,DC,Mumbai,0
2,3,2021-04-11,7.30 pm,Sun,SRH,KKR,KKR,Chennai,0
3,4,2021-04-12,7.30 pm,Mon,RR,PBKS,PBKS,Mumbai,0
4,5,2021-04-13,7.30 pm,Tue,KKR,MI,MI,Chennai,0
5,6,2021-04-14,7.30 pm,Wed,SRH,RCB,RCB,Chennai,0
6,7,2021-04-15,7.30 pm,Thus,RR,DC,RR,Mumbai,0
7,8,2021-04-16,7.30 pm,Fri,PBKS,CSK,CSK,Mumbai,0
8,9,2021-04-17,7.30 pm,Sat,MI,SRH,MI,Chennai,0
9,10,2021-04-18,3.30 pm,Sun,RCB,KKR,RCB,Chennai,0
10,11,2021-04-18,7.30 pm,Sun,DC,PBKS,DC,Mumbai,0
11,12,2021-04-19,7.30 pm,Mon,CSK,RR,CSK,Mumbai,0
12,13,2021-04-20,7.30 pm,Tue,DC,MI,DC,Chennai,0
13,14,2021-04-21,3.30 pm,Wed,PBKS,SRH,SRH,Chennai,0
14,15,2021-04-21,7.30 pm,Wed,KKR,CSK,CSK,Mumbai,0
15,16,2021-04-22,7.30 pm,Thur,RCB,RR,RCB,Mumbai,0
16,17,2021-04-23,7.30 pm,Fri,PBKS,MI,PBKS,Chennai,0
17,18,2021-04-24,7.30 pm,Sat,RR,KKR,RR,Mumbai,0
18,19,2021-04-25,3.30 pm,Sun,CSK,RCB,CSK,Mumbai,0
19,20,2021-04-25,7.30 pm,Sun,SRH,DC,DC,Chennai,0
20,21,2021-04-26,7.30 pm,Mon,PBKS,KKR,KKR,Ahmedabad,0
21,22,2021-04-27,7.30 pm,Tue,DC,RCB,RCB,Ahmedabad,0
22,23,2021-04-28,7.30 pm,Wed,CSK,SRH,CSK,Delhi,0
23,24,2021-04-29,3.30 pm,Thu,MI,RR,MI,Delhi,0
24,25,2021-04-29,7.30 pm,Thur,DC,KKR,DC,Ahmedabad,0
25,26,2021-04-30,7.30 pm,Fri,PBKS,RCB,PBKS,Ahmedabad,0
26,27,2021-05-01,7.30 pm,Sat,MI,CSK,MI,Delhi,0
27,28,2021-05-02,3.30 pm,Sun,RR,SRH,RR,Delhi,0
28,29,2021-05-02,7.30 pm,Sun,PBKS,DC,DC,Ahmedabad,0
29,30,2021-09-19,7.30 pm,Sun,CSK,MI,,Dubai,0
30,31,2021-09-20,7.30 pm,Mon,KKR,RCB,,Abu Dhabi,0
31,32,2021-09-21,7.30 pm,Tue,PBKS,RR,,Dubai,0
32,33,2021-09-22,7.30 pm,Wed,DC,SRH,,Dubai,0
33,34,2021-09-23,7.30 pm,Thu,MI,KKR,,Abu Dhabi,0
34,35,2021-09-24,7.30 pm,Fri,RCB,CSK,,Sharjah,1
35,36,2021-09-25,3.30 pm,Sat,DC,RR,,Abu Dhabi,1
36,37,2021-09-25,7.30 pm,Sat,SRH,PBKS,,Sharjah,1
37,38,2021-09-26,3.30 pm,Sun,CSK,KKR,,Abu Dhabi,1
38,39,2021-09-26,7.30 pm,Sun,RCB,MI,,Dubai,1
39,40,2021-09-27,7.30 pm,Mon,SRH,RR,,Dubai,1
40,41,2021-09-28,3.30 pm,Tue,KKR,DC,,Sharjah,0
41,42,2021-09-28,7.30 pm,Tue,MI,PBKS,,Abu Dhabi,0
42,43,2021-09-29,7.30 pm,Wed,RR,RCB,,Dubai,0
43,44,2021-09-30,7.30 pm,Thu,SRH,CSK,,Sharjah,0
44,45,2021-10-01,7.30 pm,Fri,KKR,PBKS,,Dubai,0
45,46,2021-10-02,3.30 pm,Sat,MI,DC,,Sharjah,0
46,47,2021-10-02,7.30 pm,Sat,RR,CSK,,Abu Dhabi,0
47,48,2021-10-03,3.30 pm,Sun,RCB,PBKS,,Sharjah,0
48,49,2021-10-03,7.30 pm,Sun,KKR,SRH,,Dubai,0
49,50,2021-10-04,7.30 pm,Mon,DC,SRH,,Dubai,0
50,51,2021-10-05,7.30 pm,Tue,RR,MI,,Sharjah,0
51,52,2021-10-06,7.30 pm,Wed,RCB,SRH,,Abu Dhabi,0
52,53,2021-10-07,3.30 pm,Thu,CSK,PBKS,,Dubai,0
53,54,2021-10-07,7.30 pm,Thu,KKR,RR,,Sharjah,0
54,55,2021-10-08,3.30 pm,Fri,SRH,MI,,Abu Dhabi,0
55,56,2021-10-08,7.30 pm,Fri,RCB,DC,,Dubai,0
56,57,2021-10-10,7.30 pm,Sun,Qualifier 1,,,Dubai,0
57,58,2021-10-11,7.30 pm,Mon,Eliminator,,,Sharjah,0
58,59,2021-10-13,7.30 pm,Wed,Qualifier 2,,,Sharjah,0
59,60,2021-10-15,7.30 pm,Fri,Final,,,Dubai,0
